alpha,mae_avg,mse_avg,rmse_avg
0.0001,0.21028222961189078,0.073193666788962,0.27005182511436243
0.00020691380811147902,0.2099055622550552,0.07309501114117944,0.2698657338415652
0.00042813323987193956,0.2097287362162546,0.07313768232697003,0.26993288259525683
0.0008858667904100823,0.20977131857856798,0.07341311127255609,0.270424577770921
0.0018329807108324356,0.20956195567189856,0.07325365583403212,0.27015009371692666
0.00379269019073225,0.20945887433036353,0.07294361446759223,0.26957887336488895
0.007847599703514606,0.20976885943776907,0.07323844762665652,0.2701481967601535
0.01623776739188721,0.20926330784402053,0.07332162609421142,0.2702878917146664
0.03359818286283781,0.20872400828689974,0.07417577705357023,0.27171466774731623
0.06951927961775606,0.2094850330517803,0.07812361072668969,0.2784970051048437
0.14384498882876628,0.2189370119254614,0.09452619929343051,0.3053947709786806
0.29763514416313164,0.2654591916552435,0.16423183283608866,0.40063916979483444
0.615848211066026,0.31609254116246815,0.23845573174965268,0.48392436467292493
1.2742749857031321,0.31609254116246815,0.23845573174965268,0.48392436467292493
2.6366508987303554,0.31609254116246815,0.23845573174965268,0.48392436467292493
5.455594781168514,0.31609254116246815,0.23845573174965268,0.48392436467292493
11.288378916846883,0.31609254116246815,0.23845573174965268,0.48392436467292493
23.357214690901213,0.31609254116246815,0.23845573174965268,0.48392436467292493
48.32930238571752,0.31609254116246815,0.23845573174965268,0.48392436467292493
100.0,0.31609254116246815,0.23845573174965268,0.48392436467292493
