alpha,mae_avg,mse_avg,rmse_avg
0.0001,0.19976929125411444,0.06471733524186349,0.25387737174412905
0.00020691380811147902,0.19930764882525287,0.06447640262923239,0.25339640572668837
0.00042813323987193956,0.19884733947815486,0.06447703430374224,0.25340042096793475
0.0008858667904100823,0.19868039615270158,0.06485131075345134,0.25414396738789674
0.0018329807108324356,0.19822680734169965,0.0647137470624298,0.2538383767594482
0.00379269019073225,0.19879122553132095,0.0655411673085337,0.25540104723266455
0.007847599703514606,0.19990527639374228,0.06662407171674417,0.2575535596622717
0.01623776739188721,0.20265302409531066,0.06881054871729395,0.2617839401074211
0.03359818286283781,0.20467915749335547,0.07179947686588276,0.2672915788543403
0.06951927961775606,0.2094850330517803,0.07812361072668969,0.2784970051048437
0.14384498882876628,0.21893701192546144,0.09452619929343052,0.30539477097868073
0.29763514416313164,0.2654591916552435,0.16423183283608866,0.40063916979483444
0.615848211066026,0.31609254116246815,0.23845573174965268,0.48392436467292493
1.2742749857031321,0.31609254116246815,0.23845573174965268,0.48392436467292493
2.6366508987303554,0.31609254116246815,0.23845573174965268,0.48392436467292493
5.455594781168514,0.31609254116246815,0.23845573174965268,0.48392436467292493
11.288378916846883,0.31609254116246815,0.23845573174965268,0.48392436467292493
23.357214690901213,0.31609254116246815,0.23845573174965268,0.48392436467292493
48.32930238571752,0.31609254116246815,0.23845573174965268,0.48392436467292493
100.0,0.31609254116246815,0.23845573174965268,0.48392436467292493
