optimizer,learning_rate,momentum,mae_avg,mse_avg,rmse_avg
Adam,0.01,,0.21754742662111917,0.10425031102365917,0.3099277996354633
SGD,0.001,0.9,0.23597852057880825,0.10581220189730327,0.31934629877408344
