n_neighbors,mae_avg,mse_avg,rmse_avg
1,0.2770422535211267,0.13184507042253532,0.3624729459808802
2,0.23957746478873262,0.09597887323943677,0.3089594755182965
3,0.2223239436619719,0.08509820031298909,0.290376357557749
4,0.21281690140845075,0.07910607394366206,0.2795848307615173
5,0.2125070422535212,0.07856478873239447,0.2784346381692047
6,0.2130868544600939,0.07830721830985918,0.27793009094986204
7,0.20962776659959773,0.07663387467663128,0.2746140617311633
8,0.21036091549295782,0.07773773107394369,0.2764562343688994
9,0.2091236306729265,0.07735932881238039,0.2756323155211001
10,0.20546478873239438,0.07589838028169003,0.27283385470437593
11,0.20416133162612016,0.07566575485973673,0.2725002016361147
12,0.20362676056338014,0.07580477308294194,0.272453498205636
13,0.20483748645720484,0.07734950829235762,0.2750609076621723
14,0.20439637826961757,0.07701444380569117,0.2743932030422251
15,0.20557746478873234,0.07792729264475727,0.2759666281262397
16,0.20516285211267604,0.07807381987235912,0.27620150422215656
17,0.20554266777133381,0.07858774794093278,0.2770634271679726
18,0.20603677621283248,0.07893841288471568,0.27775393189945363
19,0.20603039288361735,0.0789287093753657,0.2775946237188602
20,0.2063133802816901,0.07968606514084499,0.27887639691177607
21,0.2062441314553991,0.08028611350643541,0.2799042311650183
22,0.20716069142125498,0.08159950093120709,0.282198655469666
23,0.20810777709736708,0.08241149924119395,0.28347388987612376
24,0.20834800469483566,0.08312396689162754,0.2847650015803423
25,0.2101859154929579,0.08438931830985921,0.2870690242778278
26,0.2105985915492959,0.08499173368614057,0.28810532605193884
27,0.21092070944183647,0.08570360227206866,0.2893628615718552
28,0.2116146881287731,0.08658885455590702,0.29077148317221535
29,0.21236279747450265,0.08790703974142136,0.29294610101818697
30,0.21203990610328688,0.08837004303599395,0.293717942137672
