n_neighbors,mae_avg,mse_avg,rmse_avg
1,0.2674647887323943,0.1215985915492958,0.3481118155829868
2,0.23598591549295764,0.09396654929577462,0.30563707432934767
3,0.22377934272300473,0.08488771517996876,0.2905284859746126
4,0.21948943661971837,0.08248217429577473,0.2860970745310236
5,0.21407042253521152,0.0786260563380283,0.27930719238009594
6,0.21184272300469492,0.07725440140845075,0.27685242847217434
7,0.20935613682092544,0.07596162690428282,0.27435004087737147
8,0.2071390845070425,0.07467479093309873,0.2717768467510496
9,0.20571205007824728,0.07453955833768047,0.2713681455279642
10,0.20558450704225367,0.07520911971831,0.2723783936122205
11,0.20334186939820773,0.07428104993597964,0.2706182073941173
12,0.2032276995305166,0.07467957746478883,0.27111579606211034
13,0.20312567713976168,0.07474979164930415,0.2711205552879829
14,0.20338531187122752,0.07508721974705382,0.2717548090035419
15,0.2028215962441316,0.07453757433489842,0.27064758094382557
16,0.20284330985915497,0.07458062830105636,0.27065207651802925
17,0.20300331400165703,0.07471140162775959,0.2708242497208882
18,0.20300860719874816,0.07485740523387241,0.27108012828538836
19,0.2035285396590069,0.07553302641332758,0.27231324505280285
20,0.20441549295774672,0.07633227112676062,0.2736758369976898
21,0.2041348088531188,0.07673401520232512,0.27436112476539665
22,0.2045262483994878,0.07735790362006753,0.2754053236173931
23,0.20492345376607446,0.07811955856119698,0.27665115461922585
24,0.2053579812206574,0.0788322818857591,0.2779515574447964
25,0.20516619718309875,0.07891975211267614,0.27812321545743157
26,0.20506771397616505,0.07949232748562393,0.27908710516455865
27,0.20562858633281184,0.07991246932900563,0.2798071246959347
28,0.20617454728370244,0.08063116646306427,0.28108231719406174
29,0.20590577950461403,0.08102146170722334,0.28160338089357584
30,0.20624178403755883,0.08151215571205025,0.28253217313467294
