C,epsilon,mae_avg,mse_avg,rmse_avg
0.001,0.0001,0.30863061457258917,0.24053593576315535,0.4858381225342181
0.001,0.00035938136638046257,0.30864208000203985,0.2405270061853339,0.48583247939456875
0.001,0.001291549665014884,0.3086135926772676,0.2405339351604626,0.48584090631327825
0.001,0.004641588833612782,0.30861954592747826,0.24053778198591996,0.48585004090379813
0.001,0.016681005372000592,0.30912839002723613,0.24194201123816864,0.487271405030339
0.001,0.05994842503189409,0.30868009592731793,0.2403924061067281,0.4857384228537972
0.001,0.21544346900318845,0.3099238934798093,0.23892594236863993,0.4842379926344183
0.001,0.7742636826811278,0.3839828918758553,0.2696052881357327,0.5163672264677167
0.001,2.782559402207126,0.9901408450704204,1.1036478873239393,1.0503138363563784
0.001,10.0,0.9901408450704204,1.1036478873239393,1.0503138363563784
0.004641588833612777,0.0001,0.30554779367857826,0.23786086665961287,0.4831525255684726
0.004641588833612777,0.00035938136638046257,0.3055531471641415,0.23785620349692013,0.48314654164861964
0.004641588833612777,0.001291549665014884,0.3055822533299243,0.23786617503766294,0.4831519944841192
0.004641588833612777,0.004641588833612782,0.3055922101733489,0.23779550289107082,0.4830620200992336
0.004641588833612777,0.016681005372000592,0.30547997785716163,0.23724432649328436,0.4825097319958604
0.004641588833612777,0.05994842503189409,0.30549344711593635,0.2370785810214629,0.482350201198701
0.004641588833612777,0.21544346900318845,0.30689915095827414,0.23619494510793163,0.48147478084355366
0.004641588833612777,0.7742636826811278,0.3837727320719039,0.2685258067329378,0.5153378027876039
0.004641588833612777,2.782559402207126,0.9901408450704204,1.1036478873239393,1.0503138363563784
0.004641588833612777,10.0,0.9901408450704204,1.1036478873239393,1.0503138363563784
0.021544346900318832,0.0001,0.29534541046294205,0.22467551377286843,0.4693446905742641
0.021544346900318832,0.00035938136638046257,0.2953400330586756,0.2246828217169287,0.46935274692689416
0.021544346900318832,0.001291549665014884,0.29534675537017663,0.22469450345456124,0.4693696963380055
0.021544346900318832,0.004641588833612782,0.29545337031914237,0.22470343328588216,0.4693958150682199
0.021544346900318832,0.016681005372000592,0.29563303699438115,0.22493053397323118,0.4696599089109162
0.021544346900318832,0.05994842503189409,0.295126874411766,0.2253757204208616,0.4699735449241791
0.021544346900318832,0.21544346900318845,0.297146717579894,0.22539658267493318,0.47029674956798234
0.021544346900318832,0.7742636826811278,0.37677222111076725,0.2612328121423056,0.5083775959711822
0.021544346900318832,2.782559402207126,0.9901408450704204,1.1036478873239393,1.0503138363563784
0.021544346900318832,10.0,0.9901408450704204,1.1036478873239393,1.0503138363563784
0.1,0.0001,0.2738626737555129,0.19660749056887677,0.43871729169872536
0.1,0.00035938136638046257,0.2738531971932079,0.1965917665869485,0.438702588848151
0.1,0.001291549665014884,0.2739038267325798,0.19662031845165037,0.4387411865511527
0.1,0.004641588833612782,0.27405691487830286,0.19664152639546853,0.4387768150153108
