alpha_1,lambda_1,mae_avg,mse_avg,rmse_avg
1e-06,1e-06,0.2099602394194126,0.07320320496728386,0.27005584153320533
1e-06,2.782559402207126e-06,0.20996023969671293,0.07320320508107477,0.27005584174805364
1e-06,7.742636826811277e-06,0.2099602404683174,0.0732032053977049,0.2700558423458819
1e-06,2.1544346900318823e-05,0.20996024261535337,0.07320320627874895,0.2700558440093784
1e-06,5.994842503189409e-05,0.2099602485896098,0.07320320873031812,0.2700558486381782
1e-06,0.0001668100537200059,0.20996026521334737,0.07320321555204953,0.2700558615182665
1e-06,0.00046415888336127773,0.2099603114699929,0.07320323453465286,0.27005589735925073
1e-06,0.0012915496650148827,0.2099604401826939,0.07320328736053125,0.27005599709955597
1e-06,0.003593813663804626,0.2099607983399101,0.07320343439547339,0.27005627471523697
1e-06,0.01,0.20996180451669427,0.07320384386806544,0.270057047835054
2.782559402207126e-06,1e-06,0.20996023941170758,0.07320320496407322,0.2700558415271346
2.782559402207126e-06,2.782559402207126e-06,0.20996023968900782,0.07320320507786413,0.2700558417419828
2.782559402207126e-06,7.742636826811277e-06,0.20996024046061246,0.07320320539449439,0.2700558423398115
2.782559402207126e-06,2.1544346900318823e-05,0.2099602426076484,0.0732032062755383,0.2700558440033076
2.782559402207126e-06,5.994842503189409e-05,0.20996024858190454,0.07320320872710734,0.27005584863210724
2.782559402207126e-06,0.0001668100537200059,0.2099602652056422,0.07320321554883877,0.2700558615121955
2.782559402207126e-06,0.00046415888336127773,0.20996031146228752,0.07320323453144204,0.2700558973531797
2.782559402207126e-06,0.0012915496650148827,0.20996044017498794,0.07320328735731944,0.27005599709348316
2.782559402207126e-06,0.003593813663804626,0.209960798332202,0.07320343439225954,0.27005627470916027
2.782559402207126e-06,0.01,0.2099618045088521,0.07320384386484581,0.2700570478289664
7.742636826811277e-06,1e-06,0.2099602393902678,0.07320320495513948,0.2700558415102426
