alpha_1,lambda_1,mae_avg,mse_avg,rmse_avg
1e-06,1e-06,0.22243216164491528,0.2413483130051015,0.40457816739266594
1e-06,2.782559402207126e-06,0.22243216166826835,0.24134831634588308,0.4045781690904321
1e-06,7.742636826811277e-06,0.22243216173324884,0.2413483256418031,0.40457817381456546
1e-06,2.1544346900318823e-05,0.22243216191406218,0.2413483515082529,0.4045781869597481
1e-06,5.994842503189409e-05,0.22243216241718672,0.24134842348316896,0.404578223536994
1e-06,0.0001668100537200059,0.22243216381716527,0.24134862375750316,0.40457832531529886
1e-06,0.00046415888336127773,0.22243216771273194,0.24134918103164246,0.4045786085190805
1e-06,0.0012915496650148827,0.2224321785527096,0.2413507316715585,0.4045793965473351
1e-06,0.003593813663804626,0.22243220871815886,0.24135504635361524,0.40458158925884674
1e-06,0.01,0.22243229267521705,0.24136705170517256,0.40458769042393394
2.782559402207126e-06,1e-06,0.2224321616442472,0.24134831291114694,0.4045781673449437
2.782559402207126e-06,2.782559402207126e-06,0.2224321616676001,0.2413483162519276,0.4045781690427092
2.782559402207126e-06,7.742636826811277e-06,0.22243216173258107,0.24134832554784907,0.40457817376684363
2.782559402207126e-06,2.1544346900318823e-05,0.2224321619133943,0.24134835141429875,0.4045781869120262
2.782559402207126e-06,5.994842503189409e-05,0.22243216241651856,0.24134842338921364,0.4045782234892711
2.782559402207126e-06,0.0001668100537200059,0.22243216381649714,0.24134862366354745,0.40457832526757587
2.782559402207126e-06,0.00046415888336127773,0.22243216771206412,0.24134918093768323,0.40457860847135596
2.782559402207126e-06,0.0012915496650148827,0.22243217855204148,0.2413507315775921,0.40457939649960667
2.782559402207126e-06,0.003593813663804626,0.22243220871749073,0.24135504625962773,0.4045815892111073
2.782559402207126e-06,0.01,0.22243229267454795,0.24136705161112607,0.4045876903761637
7.742636826811277e-06,1e-06,0.22243216164238863,0.2413483126497133,0.40457816721215395
7.742636826811277e-06,2.782559402207126e-06,0.22243216166574165,0.24134831599049456,0.4045781689099198
7.742636826811277e-06,7.742636826811277e-06,0.22243216173072228,0.24134832528641592,0.40457817363405385
7.742636826811277e-06,2.1544346900318823e-05,0.22243216191153548,0.24134835115286385,0.4045781867792356
7.742636826811277e-06,5.994842503189409e-05,0.2224321624146599,0.24134842312777818,0.4045782233564804
7.742636826811277e-06,0.0001668100537200059,0.22243216381463857,0.24134862340210944,0.40457832513478387
7.742636826811277e-06,0.00046415888336127773,0.22243216771020508,0.2413491806762386,0.4045786083385602
7.742636826811277e-06,0.0012915496650148827,0.2224321785501822,0.24135073131612597,0.40457939636679974
7.742636826811277e-06,0.003593813663804626,0.22243220871563088,0.24135504599810148,0.40458158907826924
7.742636826811277e-06,0.01,0.222432292672686,0.24136705134943442,0.404587690243239
2.1544346900318823e-05,1e-06,0.22243216163721652,0.24134831192225908,0.4045781668426584
2.1544346900318823e-05,2.782559402207126e-06,0.22243216166056962,0.2413483152630403,0.40457816854042444
2.1544346900318823e-05,7.742636826811277e-06,0.22243216172555033,0.24134832455896107,0.4045781732645583
2.1544346900318823e-05,2.1544346900318823e-05,0.22243216190636347,0.24134835042540823,0.4045781864097394
2.1544346900318823e-05,5.994842503189409e-05,0.22243216240948782,0.24134842240031956,0.4045782229869827
2.1544346900318823e-05,0.0001668100537200059,0.22243216380946648,0.24134862267464396,0.40457832476528255
2.1544346900318823e-05,0.00046415888336127773,0.22243216770503266,0.24134917994875077,0.4045786079690473
2.1544346900318823e-05,0.0012915496650148827,0.22243217854500932,0.24135073058857884,0.404579395997256
2.1544346900318823e-05,0.003593813663804626,0.22243220871045571,0.24135504527038892,0.40458158870863886
2.1544346900318823e-05,0.01,0.2224322926675058,0.2413670506212627,0.40458768987336924
5.994842503189409e-05,1e-06,0.22243216162282525,0.24134830989807501,0.40457816581451594
5.994842503189409e-05,2.782559402207126e-06,0.22243216164617827,0.24134831323885528,0.40457816751228143
5.994842503189409e-05,7.742636826811277e-06,0.222432161711159,0.24134832253477448,0.40457817223641446
5.994842503189409e-05,2.1544346900318823e-05,0.22243216189197215,0.24134834840122155,0.40457818538159557
5.994842503189409e-05,5.994842503189409e-05,0.22243216239509653,0.24134842037612345,0.40457822195883403
5.994842503189409e-05,0.0001668100537200059,0.2224321637950748,0.24134862065042667,0.40457832373712266
5.994842503189409e-05,0.00046415888336127773,0.2224321676906405,0.24134917792447408,0.40457860694085657
5.994842503189409e-05,0.0012915496650148827,0.22243217853061478,0.24135072856413572,0.4045793949689781
5.994842503189409e-05,0.003593813663804626,0.22243220869605587,0.24135504324548696,0.4045815876801216
5.994842503189409e-05,0.01,0.2224322926530903,0.24136704859507924,0.40458768884418256
0.0001668100537200059,1e-06,0.22243216158278045,0.24134830426566278,0.4045781629536481
0.0001668100537200059,2.782559402207126e-06,0.22243216160613333,0.24134830760644194,0.4045781646514131
0.0001668100537200059,7.742636826811277e-06,0.2224321616711143,0.24134831690235953,0.40457816937554547
0.0001668100537200059,2.1544346900318823e-05,0.22243216185192755,0.24134834276879785,0.40457818252072214
0.0001668100537200059,5.994842503189409e-05,0.22243216235505142,0.24134841474367885,0.40457821909794933
0.0001668100537200059,0.0001668100537200059,0.22243216375502875,0.24134861501792182,0.40457832087620665
0.0001668100537200059,0.00046415888336127773,0.2224321676505927,0.24134917229180403,0.40457860407985435
