alpha_1,lambda_1,mae_avg,mse_avg,rmse_avg
1e-06,1e-06,0.2631645777716564,0.15784917125754325,0.3931449398677991
1e-06,2.782559402207126e-06,0.26316457767211077,0.15784917153029077,0.39314494018903284
1e-06,7.742636826811277e-06,0.2631645773951195,0.1578491722892275,0.3931449410828857
1e-06,2.1544346900318823e-05,0.26316457662437415,0.15784917440101504,0.3931449435700853
1e-06,5.994842503189409e-05,0.2631645744797285,0.15784918027720027,0.3931449504908794
1e-06,0.0001668100537200059,0.2631645685121151,0.15784919662811442,0.39314496974849467
1e-06,0.00046415888336127773,0.26316455190680604,0.15784924212612966,0.3931450233346988
1e-06,0.0012915496650148827,0.2631645057010016,0.15784936873189845,0.39314517244726516
1e-06,0.003593813663804626,0.26316437712637997,0.15784972105743394,0.39314558740651273
1e-06,0.01,0.2631640193271331,0.15785070171428575,0.3931467424012288
2.782559402207126e-06,1e-06,0.2631645777773126,0.15784917124311218,0.3931449398508161
2.782559402207126e-06,2.782559402207126e-06,0.263164577677767,0.1578491715158597,0.3931449401720499
2.782559402207126e-06,7.742636826811277e-06,0.2631645774007756,0.1578491722747964,0.3931449410659027
2.782559402207126e-06,2.1544346900318823e-05,0.2631645766300304,0.15784917438658405,0.39314494355310253
2.782559402207126e-06,5.994842503189409e-05,0.26316457448538466,0.15784918026276895,0.3931449504738961
2.782559402207126e-06,0.0001668100537200059,0.2631645685177715,0.15784919661368296,0.3931449697315112
2.782559402207126e-06,0.00046415888336127773,0.2631645519124627,0.15784924211169793,0.39314502331771506
2.782559402207126e-06,0.0012915496650148827,0.26316450570665834,0.157849368717465,0.3931451724302794
2.782559402207126e-06,0.003593813663804626,0.2631643771320377,0.157849721042996,0.39314558738952166
2.782559402207126e-06,0.01,0.26316401933279376,0.15785070169983595,0.3931467423842236
7.742636826811277e-06,1e-06,0.2631645777930513,0.1578491712029567,0.3931449398035598
7.742636826811277e-06,2.782559402207126e-06,0.2631645776935058,0.1578491714757045,0.3931449401247939
7.742636826811277e-06,7.742636826811277e-06,0.2631645774165142,0.15784917223464087,0.3931449410186463
7.742636826811277e-06,2.1544346900318823e-05,0.2631645766457688,0.15784917434642853,0.393144943505846
7.742636826811277e-06,5.994842503189409e-05,0.26316457450112307,0.15784918022261307,0.3931449504266392
7.742636826811277e-06,0.0001668100537200059,0.26316456853351,0.15784919657352683,0.393144969684254
