alpha,mae_avg,mse_avg,rmse_avg
0.0001,0.21063544593893874,0.07352989499521981,0.27065796285877297
0.00020691380811147902,0.21063101066987616,0.07352735595131432,0.2706534172656661
0.00042813323987193956,0.21062221871627385,0.07352247731832041,0.2706447020347301
0.0008858667904100823,0.2106065318315343,0.07351375992357323,0.27062919909320093
0.0018329807108324356,0.21058244606746462,0.07350010349076337,0.27060513859160795
0.00379269019073225,0.2105513735081863,0.07348270212171984,0.2705750535775281
0.007847599703514606,0.21052823591849418,0.07346486009761369,0.27054512753506693
0.01623776739188721,0.21051889369633375,0.07344562957044924,0.27051305043291646
0.03359818286283781,0.2105274689239871,0.07341689531201998,0.27046298754366366
0.06951927961775606,0.21051813141132839,0.07337313223527853,0.27038430832265076
0.14384498882876628,0.21048225694234302,0.07331698245706389,0.27028151893992103
0.29763514416313164,0.2103967860741472,0.07325025293562068,0.2701570234883359
0.615848211066026,0.21023744180719423,0.073170144721422,0.2700048028471654
1.2742749857031321,0.2100037117042787,0.07308513183385738,0.26984112079929473
2.6366508987303554,0.2097129057615283,0.07303150891802285,0.2697358104695005
5.455594781168514,0.20966514994447838,0.07307534736848928,0.2698151946100129
11.288378916846883,0.21019189106440406,0.07331796721329413,0.27026968739158097
23.357214690901213,0.21122295808255775,0.07390339642852073,0.27136267114592716
48.32930238571752,0.21277123461210018,0.07495497797728394,0.27330846687917115
100.0,0.21478765107753292,0.07649171749365827,0.2761120069922131
