alpha,mae_avg,mse_avg,rmse_avg
0.0001,0.2230005724034668,0.22271775644496755,0.3956097064449559
0.00020691380811147902,0.22300053665573163,0.22271757436717574,0.39560957267667707
0.00042813323987193956,0.22300046269785412,0.22271719788042352,0.39560929603975636
0.0008858667904100823,0.22300030970752052,0.2227164199782234,0.3956087242734269
0.0018329807108324356,0.2229999933149777,0.22271481509730742,0.3956075439189047
0.00379269019073225,0.22299933936253719,0.22271151446352783,0.39560511316577807
0.007847599703514606,0.22299798926054026,0.22270477044617554,0.3956001328038865
0.01623776739188721,0.2229952085134586,0.2226911771994624,0.39559003573368245
0.03359818286283781,0.2229895086000409,0.2226645554709977,0.3955700109852972
0.06951927961775606,0.22297901081742175,0.22261556750400663,0.39553209827997765
0.14384498882876628,0.22295994534040653,0.2225375651462337,0.39546719695996324
0.29763514416313164,0.22292328450660803,0.2224566500896104,0.39537994553343286
0.615848211066026,0.2228566084158224,0.22251818446184868,0.3953355032430882
1.2742749857031321,0.2227444286074424,0.2231166411089589,0.3955347640132125
2.6366508987303554,0.2225742769036095,0.2248973320181063,0.3963260109278468
5.455594781168514,0.22240837674336178,0.22848970466556523,0.39806338920346
11.288378916846883,0.22235555278089283,0.23434076033811385,0.40099349126612027
23.357214690901213,0.22236975312341412,0.24317381057204868,0.40548325313794586
48.32930238571752,0.22278537498632695,0.25633421783791516,0.412250265965457
100.0,0.22420434648292487,0.2731080092167516,0.42114668049694115
