alpha,mae_avg,mse_avg,rmse_avg
0.0001,0.2648235537075924,0.1565186613381199,0.3916166683601998
0.00020691380811147902,0.2648231467926773,0.15651863889451148,0.39161661723810604
0.00042813323987193956,0.26482230487684855,0.15651859256423695,0.39161651159859695
0.0008858667904100823,0.2648205630393742,0.15651849716554792,0.39161629361150907
0.0018329807108324356,0.2648169598043436,0.1565183017622728,0.3916158451147199
0.00379269019073225,0.2648095079237317,0.15651790595394083,0.39161492801059083
0.007847599703514606,0.26479410481519183,0.15651712330119613,0.3916130769307206
0.01623776739188721,0.26476230135974277,0.1565156585734196,0.39160944495436306
0.03359818286283781,0.26469701370293686,0.1565132826785467,0.3916027689208871
0.06951927961775606,0.2645683922705958,0.15651110560309353,0.3915924660805684
0.14384498882876628,0.26430739786203955,0.15651777988401966,0.39158548818152766
0.29763514416313164,0.26384824257563827,0.15657500958669923,0.39162682909835755
0.615848211066026,0.2632052824204628,0.15684627717997066,0.3919092282413701
1.2742749857031321,0.2623387062435886,0.15785225635208242,0.39306839966804424
2.6366508987303554,0.2621051149838429,0.1608225107007318,0.39662030146994054
5.455594781168514,0.2643776581047157,0.16756373791828777,0.4047476418588391
11.288378916846883,0.27138361553323315,0.1790037797837604,0.4183806503031862
23.357214690901213,0.28202417234262545,0.19352058463202992,0.435239659399124
48.32930238571752,0.29269342007452376,0.20777875178430075,0.4512811940081757
100.0,0.30149924114088233,0.2192381701157055,0.46379393126909907
